date,d5y_bp,d10y_bp,fx_ret_pct,oas_bp,doas_bp,etf_ret_pct,etf_ret_tr_pct,etf_ret_rmb_pct,etf_rate_attrib_tr_pct,etf_spread_proxy_tr_pct,is_exdate,div_yield_pct
2022-03-02,18.0,14.0,0.1488,,,-1.0242,-1.0242,-0.8754,-0.535,-0.4892,False,0.0
2022-03-03,0.0,0.0,-0.0237,,,0.2189,0.2189,0.1952,0.0141,0.2048,False,0.0
2022-03-04,-9.0,-12.0,-0.0111,,,0.3046,0.3046,0.2935,0.4352,-0.1306,False,0.0
2022-03-07,6.0,4.0,0.0095,,,-0.5337,-0.5337,-0.5242,-0.1494,-0.3843,False,0.0
2022-03-08,9.0,8.0,-0.0253,,,-0.6135,-0.6135,-0.6388,-0.2897,-0.3238,False,0.0
2022-03-09,7.0,8.0,-0.0063,,,-0.5193,-0.5193,-0.5256,-0.2743,-0.245,False,0.0
2022-03-10,5.0,4.0,0.0601,,,-0.0567,-0.0567,0.0034,-0.1417,0.085,False,0.0
2022-03-11,4.0,2.0,0.2796,,,-0.3048,-0.3048,-0.0252,-0.0753,-0.2295,False,0.0
2022-03-14,14.0,14.0,0.403,,,-1.0349,-1.0349,-0.6319,-0.5041,-0.5308,False,0.0
2022-03-15,0.0,1.0,0.0801,,,-0.4716,-0.4716,-0.3915,-0.0152,-0.4564,False,0.0
2022-03-16,8.0,4.0,-0.2924,,,0.2465,0.2465,-0.0459,-0.1648,0.4113,False,0.0
2022-03-17,-1.0,1.0,-0.0803,,,0.6788,0.6788,0.5985,-0.0075,0.6863,False,0.0
2022-03-18,-3.0,-6.0,0.2361,,,0.2183,0.2183,0.4544,0.2131,0.0052,False,0.0
2022-03-21,19.0,18.0,-0.0897,,,-0.6198,-0.6198,-0.7095,-0.6599,0.0401,False,0.0
2022-03-22,6.0,6.0,0.1698,,,-0.3559,-0.3559,-0.1861,-0.208,-0.1479,False,0.0
2022-03-23,-5.0,-6.0,0.0942,,,0.7054,0.7054,0.7996,0.2285,0.4769,False,0.0
2022-03-24,3.0,2.0,-0.0785,,,-0.3912,-0.3912,-0.4697,-0.0676,-0.3236,False,0.0
2022-03-25,18.0,14.0,-0.0188,,,-0.6082,-0.6082,-0.627,-0.535,-0.0732,False,0.0
2022-03-28,-1.0,-2.0,0.0879,,,0.2521,0.2521,0.34,0.0804,0.1717,False,0.0
2022-03-29,-5.0,-5.0,-0.1241,,,0.5232,0.5232,0.3991,0.1992,0.324,False,0.0
2022-03-30,-5.0,-6.0,-0.2596,,,0.5412,0.5412,0.2816,0.2285,0.3127,False,0.0
2022-03-31,-2.0,-3.0,-0.1214,,,0.0519,0.0519,-0.0695,0.1175,-0.0656,False,0.0
2022-04-01,13.0,7.0,0.3653,,,-1.0167,-0.2836,0.0817,-0.2913,0.0077,True,0.7284
2022-04-04,1.0,3.0,-0.0094,,,0.0157,0.0157,0.0063,-0.0815,0.0972,False,0.0
2022-04-05,13.0,12.0,0.0,,,0.0,0.0,0.0,-0.4378,0.4378,False,0.0
2022-04-06,1.0,7.0,-0.0456,,,-0.5517,-0.5517,-0.5973,-0.1987,-0.353,False,0.0
2022-04-07,0.0,5.0,0.0157,,,-0.0949,-0.0949,-0.0792,-0.1324,0.0375,False,0.0
2022-04-08,6.0,6.0,0.0676,,,-0.3751,-0.3751,-0.3075,-0.208,-0.1671,False,0.0
2022-04-11,3.0,7.0,0.077,,,-0.3925,-0.3925,-0.3155,-0.2141,-0.1784,False,0.0
2022-04-12,-13.0,-7.0,-0.0644,,,0.0637,0.0637,-0.0007,0.3195,-0.2558,False,0.0
2022-04-13,0.0,-2.0,0.0424,,,0.0849,0.0849,0.1273,0.0727,0.0122,False,0.0
2022-04-14,13.0,13.0,0.1522,,,-0.5054,-0.5054,-0.3532,-0.4671,-0.0383,False,0.0
2022-04-18,0.0,2.0,-0.2276,,,0.0,0.0,-0.2276,-0.0445,0.0445,False,0.0
