date,ret_tr_pct,sig_uncond,sig_garch,sig_garch_t,sig_ewma,sig_dnorm,m1_var_95,m1_var_99,garch_var_95,garch_var_99,garch_t_var_95,garch_t_var_99,ewma_var_95,ewma_var_99,dnorm_var_95,dnorm_var_99,ret_rmb_pct,rmb_sig_uncond,rmb_sig_garch,rmb_sig_ewma,rmb_sig_dnorm,rmb_m1_var_95,rmb_m1_var_99,rmb_garch_var_95,rmb_garch_var_99,rmb_ewma_var_95,rmb_ewma_var_99,rmb_dnorm_var_95,rmb_dnorm_var_99
2022-11-10,1.0232,0.342603,0.337743,0.333467,0.320428,0.342605,0.563547,0.796996,0.555554,0.785692,0.548521,0.775745,0.527072,0.745412,0.563551,0.797002,0.2453,0.429502,0.52522,0.521272,0.429504,0.706489,0.999152,0.863934,1.221819,0.857441,1.212636,0.70649,0.999154
2022-11-14,0.9144,0.348808,0.391719,0.391216,0.399162,0.348811,0.573755,0.811433,0.644339,0.911256,0.643512,0.910086,0.656581,0.92857,0.573758,0.811438,-0.671,0.428926,0.522793,0.508952,0.428927,0.70554,0.99781,0.859942,1.216173,0.837174,1.183974,0.705542,0.997813
2022-11-15,0.6472,0.353961,0.423918,0.432829,0.447144,0.353963,0.58223,0.823418,0.697303,0.98616,0.711961,1.006891,0.735507,1.040191,0.582234,0.823424,0.2646,0.430933,0.525788,0.5201,0.430934,0.708842,1.00248,0.864869,1.223141,0.855513,1.209909,0.708843,1.002481
2022-11-16,0.4483,0.356723,0.437136,0.452213,0.461599,0.356726,0.586774,0.829846,0.719044,1.016908,0.743846,1.051984,0.759284,1.073818,0.586779,0.829852,1.1894,0.431284,0.523554,0.508404,0.431285,0.709419,1.003295,0.861193,1.217943,0.836274,1.182701,0.70942,1.003297
2022-11-17,-0.3446,0.358138,0.439448,0.454497,0.460812,0.358141,0.589102,0.833137,0.722847,1.022287,0.747602,1.057296,0.75799,1.071987,0.589106,0.833143,0.4792,0.437909,0.536212,0.572579,0.43791,0.720316,1.018707,0.882015,1.247389,0.941835,1.33199,0.720317,1.018709
2022-11-18,-0.265,0.35776,0.435744,0.448365,0.454678,0.357762,0.588479,0.832256,0.716755,1.013671,0.737515,1.043031,0.747899,1.057717,0.588483,0.832263,-0.768,0.438938,0.536904,0.56741,0.438939,0.722009,1.021102,0.883153,1.249,0.933332,1.319965,0.722011,1.021104
2022-11-21,0.0173,0.357718,0.430422,0.43978,0.44558,0.35772,0.58841,0.832158,0.708002,1.001291,0.723394,1.02306,0.732934,1.036552,0.588414,0.832165,0.6446,0.441139,0.538529,0.5814,0.44114,0.725629,1.026221,0.885826,1.252779,0.956345,1.352511,0.725631,1.026224
2022-11-22,0.2765,0.35756,0.423438,0.428862,0.432026,0.357563,0.588151,0.831792,0.696514,0.985045,0.705434,0.997661,0.71064,1.005023,0.588155,0.831798,-0.0759,0.442987,0.540008,0.585384,0.442989,0.72867,1.030522,0.888259,1.256221,0.962899,1.36178,0.728672,1.030525
2022-11-23,0.4076,0.357804,0.420687,0.424334,0.424305,0.357807,0.588552,0.83236,0.691988,0.978644,0.697987,0.987128,0.69794,0.987062,0.588557,0.832367,0.6762,0.44249,0.539614,0.567856,0.442491,0.727852,1.029365,0.887612,1.255305,0.934066,1.321003,0.727854,1.029368
2022-11-25,0.4744,0.358774,0.421842,0.425448,0.423322,0.358777,0.590148,0.834617,0.693887,0.98133,0.69982,0.98972,0.696322,0.984773,0.590153,0.834623,0.561,0.444528,0.541252,0.574932,0.444529,0.731204,1.034105,0.890306,1.259115,0.945706,1.337465,0.731206,1.034109
2022-11-28,0.0684,0.359882,0.425339,0.429902,0.426559,0.359885,0.59197,0.837193,0.69964,0.989466,0.707146,1.000081,0.701647,0.992304,0.591974,0.8372,0.6696,0.445707,0.542239,0.574106,0.445708,0.733143,1.036848,0.891929,1.261411,0.944347,1.335543,0.733145,1.036851
2022-11-29,-0.0114,0.358435,0.419386,0.420993,0.413903,0.358437,0.58959,0.833827,0.689849,0.975618,0.692492,0.979357,0.68083,0.962864,0.589594,0.833833,-0.7159,0.44669,0.543759,0.580279,0.446691,0.734761,1.039135,0.894429,1.264946,0.954501,1.349903,0.734762,1.039137
2022-11-30,0.6079,0.358291,0.413303,0.412304,0.401304,0.358294,0.589353,0.833493,0.679843,0.961468,0.678199,0.959143,0.660105,0.933554,0.589357,0.833499,-0.3595,0.448577,0.545104,0.589297,0.448578,0.737865,1.043526,0.896642,1.268076,0.969335,1.370882,0.737866,1.043527
2022-12-01,0.9078,0.360357,0.422613,0.424658,0.416599,0.36036,0.592752,0.838299,0.695156,0.983125,0.698519,0.987881,0.685264,0.969134,0.592756,0.838305,0.2638,0.449021,0.545116,0.578091,0.449022,0.738595,1.044558,0.896662,1.268104,0.950902,1.344813,0.738596,1.04456
2022-12-02,0.2411,0.36537,0.449574,0.460223,0.461072,0.365372,0.600996,0.849959,0.739505,1.045844,0.75702,1.070616,0.758418,1.072592,0.601,0.849964,-0.0917,0.449335,0.545062,0.564193,0.449335,0.739111,1.045287,0.896573,1.267978,0.92804,1.312481,0.739112,1.045289
