date,rv60_ann_%,chronic_high,crisis_window,regime
2022-07-29,6.0149184131158995,True,False,高波动
2022-08-01,5.989077996891297,True,False,高波动
2022-08-02,6.0719143761381025,True,False,高波动
2022-08-03,6.023496820137237,True,False,高波动
2022-08-04,6.033622398366326,True,False,高波动
2022-08-05,6.2132679449543,True,False,高波动
2022-08-08,6.191807969077547,True,False,高波动
2022-08-09,6.1914527896179425,True,False,高波动
2022-08-10,6.174842146819269,True,False,高波动
2022-08-11,6.159589540889661,True,False,高波动
2022-08-12,6.123454419464086,True,False,高波动
2022-08-15,6.063942261696301,True,False,高波动
2022-08-16,6.065321336517987,True,False,高波动
2022-08-17,6.098890535146119,True,False,高波动
2022-08-18,6.08136737048057,True,False,高波动
2022-08-19,6.025385229794335,True,False,高波动
2022-08-22,6.063867774026852,True,False,高波动
2022-08-23,6.050012538210849,True,False,高波动
2022-08-24,6.037403573820988,True,False,高波动
2022-08-25,6.098300190853409,True,False,高波动
2022-08-26,6.068919302964764,True,False,高波动
2022-08-29,6.160558994224634,True,False,高波动
2022-08-30,6.1681109487235,True,False,高波动
2022-08-31,6.137035417788173,True,False,高波动
2022-09-01,6.178942758932915,True,False,高波动
2022-09-02,6.19067361477827,True,False,高波动
2022-09-06,6.277876719660417,True,False,高波动
2022-09-07,6.163014398680161,True,False,高波动
2022-09-08,5.513541329183102,True,False,高波动
2022-09-09,5.367770840163399,True,False,高波动
2022-09-12,5.053054812503966,True,False,高波动
2022-09-13,5.054820092930935,True,False,高波动
2022-09-14,5.061597829238229,True,False,高波动
2022-09-15,5.055461139485443,True,False,高波动
2022-09-16,4.9216433006480225,True,False,高波动
2022-09-19,4.910526291484032,True,False,高波动
2022-09-20,4.91917385052216,True,False,高波动
2022-09-21,4.917173415706994,True,False,高波动
2022-09-22,5.115416219180764,True,False,高波动
2022-09-23,5.103061094423985,True,False,高波动
2022-09-26,5.387689242227465,True,False,高波动
2022-09-27,5.445270561079213,True,False,高波动
2022-09-28,5.47931105454023,True,False,高波动
2022-09-29,5.428962107728561,True,False,高波动
2022-09-30,5.3981342625932385,True,False,高波动
2022-10-03,5.501863836521866,True,False,高波动
2022-10-04,5.450734522979448,True,False,高波动
2022-10-05,5.453089510807736,True,False,高波动
2022-10-06,5.452665327146386,True,False,高波动
2022-10-07,5.445709665477765,True,False,高波动
2022-10-11,5.530205515018314,True,False,高波动
2022-10-12,5.529731052739103,True,False,高波动
2022-10-13,5.5634232467892675,True,False,高波动
2022-10-14,5.586179578099834,True,False,高波动
2022-10-17,5.3842633454590825,True,False,高波动
2022-10-18,5.135659743966358,True,False,高波动
2022-10-19,5.209021345723531,True,False,高波动
2022-10-20,5.274903012462063,True,False,高波动
2022-10-21,5.2546156781201185,True,False,高波动
2022-10-24,5.086913330921322,True,False,高波动
2022-10-25,5.0964344030019335,True,False,高波动
2022-10-26,5.072450368896205,True,False,高波动
2022-10-27,5.063101125912885,True,False,高波动
2022-10-28,5.021758263353515,True,False,高波动
2022-10-31,5.002473207683696,True,False,高波动
2022-11-01,4.857416839735822,True,False,高波动
2022-11-02,4.801628796074111,True,False,高波动
2022-11-03,4.826806286418603,True,False,高波动
2022-11-04,4.819476061090429,True,False,高波动
2022-11-07,4.822721828390466,True,False,高波动
2022-11-08,4.886537607449362,True,False,高波动
2022-11-09,4.944986495417798,True,False,高波动
2022-11-10,5.465413747347488,True,False,高波动
2022-11-14,5.805008452251544,True,False,高波动
2022-11-15,5.992235938884101,True,False,高波动
2022-11-16,6.061555409147844,True,False,高波动
2022-11-17,6.046815087787809,True,False,高波动
2022-11-18,6.059765055422136,True,False,高波动
2022-11-21,6.062265738646409,True,False,高波动
2022-11-22,6.019189308204219,True,False,高波动
2022-11-23,6.084737197380543,True,False,高波动
2022-11-25,6.102119073984441,True,False,高波动
2022-11-28,6.096212844709409,True,False,高波动
2022-11-29,6.08680504012364,True,False,高波动
2022-11-30,6.16444759724005,True,False,高波动
2022-12-01,6.444134305957652,True,False,高波动
2022-12-02,6.371786082567429,True,False,高波动
2022-12-05,6.367292075437735,True,False,高波动
2022-12-06,6.385945197573086,True,False,高波动
2022-12-07,6.435990974701616,True,False,高波动
2022-12-08,6.438926777504756,True,False,高波动
2022-12-09,6.4407018687722815,True,False,高波动
2022-12-12,6.421200869724908,True,False,高波动
2022-12-13,6.476897385712609,True,False,高波动
2022-12-14,6.498175581990138,True,False,高波动
2022-12-15,6.491910053365114,True,False,高波动
2022-12-16,6.477932742794531,True,False,高波动
2022-12-19,6.527627676072196,True,False,高波动
2022-12-20,6.380266212085882,True,False,高波动
2022-12-21,6.365215478209192,True,False,高波动
2022-12-22,6.059207930557325,True,False,高波动
2022-12-23,6.00058319786855,True,False,高波动
2022-12-27,5.905958461490179,True,False,高波动
2022-12-28,5.918265993128705,True,False,高波动
2022-12-29,5.918841566445071,True,False,高波动
2022-12-30,5.865442625050788,True,False,高波动
2023-01-03,5.885070649665924,True,False,高波动
2023-01-04,5.918153077905759,True,False,高波动
2023-01-05,5.889692153190683,True,False,高波动
2023-01-06,5.9551505481119404,True,False,高波动
2023-01-09,5.856564936602688,True,False,高波动
2023-01-10,5.899037401118643,True,False,高波动
2023-01-11,5.8149383423578715,True,False,高波动
2023-01-12,5.800532840386887,True,False,高波动
2023-01-13,5.785073809150753,True,False,高波动
2023-01-17,5.785269559285305,True,False,高波动
2023-01-18,5.765169231999456,True,False,高波动
2023-01-19,5.591933205000433,True,False,高波动
2023-01-20,5.634653606723548,True,False,高波动
2023-01-23,5.600980390812947,True,False,高波动
2023-01-24,5.602070443378612,True,False,高波动
2023-01-25,5.5956400020379045,True,False,高波动
2023-01-26,5.572155043665246,True,False,高波动
2023-01-27,5.527249305521672,True,False,高波动
2023-01-30,5.469607681153081,True,False,高波动
2023-01-31,5.4815634855487785,True,False,高波动
2023-02-01,5.5041579762723645,True,False,高波动
2023-02-02,5.403795673510502,True,False,高波动
2023-02-03,5.483906122152005,True,False,高波动
2023-02-06,5.628067267495797,True,False,高波动
2023-02-07,5.62346846682932,True,False,高波动
2023-02-08,5.605679916970412,True,False,高波动
2023-02-09,5.337788424505007,True,False,高波动
2023-02-10,5.120621673960154,True,False,高波动
2023-02-13,4.981585594802017,True,False,高波动
2023-02-14,4.936996212492924,True,False,高波动
2023-02-15,4.888911313529762,True,False,高波动
2023-02-16,4.867840189287305,True,False,高波动
2023-02-17,4.8689175476795326,True,False,高波动
2023-02-21,5.074147168482967,True,False,高波动
2023-02-22,5.017231851941424,True,False,高波动
2023-02-23,4.96577207307472,True,False,高波动
2023-02-24,5.014966500018227,True,False,高波动
2023-02-27,5.019616407506501,True,False,高波动
2023-02-28,4.884923048544714,True,False,高波动
2023-03-01,4.588501329868325,True,False,高波动
2023-03-02,4.588093245749796,True,False,高波动
2023-03-03,4.618800131632249,True,False,高波动
