date,ret_tr_pct,ret_rmb_pct,hs250_var_95,rmb_hs250_var_95,hs250_var_99,rmb_hs250_var_99,hs500_var_95,rmb_hs500_var_95,hs500_var_99,rmb_hs500_var_99,hs750_var_95,rmb_hs750_var_95,hs750_var_99,rmb_hs750_var_99,fhs_sig_e,fhs_sig_g,rmb_fhs_sig_e,rmb_fhs_sig_g,fhs_e_var_95,fhs_g_var_95,rmb_fhs_e_var_95,rmb_fhs_g_var_95,fhs_e_var_99,fhs_g_var_99,rmb_fhs_e_var_99,rmb_fhs_g_var_99
2022-12-12,-0.0617,0.2455,0.611565,0.75675,0.969614,1.093806,,,,,,,,,0.414204,0.427695,0.566134,0.550078,,,,,,,,
2022-12-13,0.4309,-0.0619,0.611565,0.75675,0.969614,1.093806,,,,,,,,,0.40187,0.422003,0.552171,0.550082,,,,,,,,
2022-12-14,0.2899,0.3878,0.611565,0.75675,0.969614,1.093806,,,,,,,,,0.40367,0.423609,0.535564,0.549634,,,,,,,,
2022-12-15,0.0835,0.3967,0.611565,0.75675,0.969614,1.093806,,,,,,,,,0.397763,0.421396,0.527866,0.549945,,,,,,,,
2022-12-16,-0.1113,-0.1228,0.611565,0.75675,0.969614,1.093806,,,,,,,,,0.386187,0.415259,0.520929,0.550274,,,,,,,,
2022-12-19,-0.3794,-0.2876,0.611565,0.75675,0.969614,1.093806,,,,,,,,,0.375414,0.409156,0.505954,0.548507,,,,,,,,
2022-12-20,-0.2799,-0.5267,0.611565,0.75675,0.969614,1.093806,,,,,,,,,0.375654,0.408061,0.495573,0.546246,,,,,,,,
2022-12-21,-0.0112,0.2901,0.611565,0.75675,0.969614,1.093806,,,,,,,,,0.370607,0.404448,0.497496,0.546509,,,,,,,,
2022-12-22,-0.0168,0.0104,0.611565,0.75675,0.969614,1.093806,,,,,,,,,0.359327,0.398122,0.487546,0.544423,,,,,,,,
2022-12-23,-0.2358,-0.1628,0.611565,0.75675,0.969614,1.093806,,,,,,,,,0.348405,0.391742,0.472701,0.541266,,,,,,,,
2022-12-27,0.0,-0.4015,0.611565,0.75675,0.969614,1.093806,,,,,,,,,0.342694,0.387274,0.460032,0.538384,,,,,,,,
2022-12-28,-0.4055,-0.1558,0.611565,0.75675,0.969614,1.093806,,,,,,,,,0.332254,0.380635,0.456731,0.537254,,,,,,,,
2022-12-29,0.2368,0.023,0.611565,0.75675,0.969614,1.093806,,,,,,,,,0.337098,0.381063,0.444459,0.534386,,,,,,,,
2022-12-30,-0.2029,-1.1452,0.611565,0.75675,0.969614,1.093806,,,,,,,,,0.331936,0.377713,0.430956,0.531312,,,,,,,,
2023-01-03,0.2648,0.5008,0.611565,0.76583,0.969614,1.135799,,,,,,,,,0.325639,0.372328,0.503258,0.544622,,,,,,,,
2023-01-04,0.3857,0.0089,0.611565,0.76583,0.969614,1.135799,,,,,,,,,0.322312,0.36981,0.503111,0.544853,,,,,,,,
2023-01-05,0.0113,-0.0977,0.611565,0.75675,0.969614,1.135799,,,,,,,,,0.326463,0.372075,0.487789,0.54174,,,,,,,,
